url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/gleanwork/jobs/4012745005	2026-04-07	Greenhouse API	Software Engineer, Machine Learning (India)	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4669417005	2026-04-07	Greenhouse API	Machine Learning Engineer, LLM Evals & Observability	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4605215005	2026-04-07	Greenhouse API	Machine Learning Engineer, AI Assistant & Autonomous AI Agents	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4501783005	2026-04-07	Greenhouse API	Machine Learning Engineer, Infrastructure	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4616929005	2026-04-07	Greenhouse API	Software Engineer, Agentic Runtime	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4637208005	2026-04-07	Greenhouse API	Software Engineer, Data Foundations	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4659412005	2026-04-07	Greenhouse API	Founding Forward Deployed Engineer	Glean	added
https://job-boards.greenhouse.io/anthropic/jobs/4956672008	2026-04-07	Greenhouse API	Analytics Data Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5156057008	2026-04-07	Greenhouse API	Data Engineer, Safeguards	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5055488008	2026-04-07	Greenhouse API	Applied AI Engineer	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5121561008	2026-04-07	Greenhouse API	Forward Deployed Engineer, Applied AI	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5103078008	2026-04-07	Greenhouse API	Engineering Manager, Safeguards Data Infrastructure	Anthropic	added
https://job-boards.greenhouse.io/arizeai/jobs/5661972004	2026-04-07	Greenhouse API	AI Engineer, Instrumentation	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5396396004	2026-04-07	Greenhouse API	Senior AI Product Engineer, Backend	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5693219004	2026-04-07	Greenhouse API	Senior DevOps Engineer (APJ)	Arize AI	added
https://getyourguide.careers/jobs/7694621	2026-04-07	Greenhouse API	Data Engineer, Growth Data Engineering	GetYourGuide	added
https://getyourguide.careers/jobs/7694619	2026-04-07	Greenhouse API	Data Engineer, Traveler Data Engineering	GetYourGuide	added
https://getyourguide.careers/jobs/7602240	2026-04-07	Greenhouse API	Senior Data Engineer, Supply Data Engineering	GetYourGuide	added
https://getyourguide.careers/jobs/7594703	2026-04-07	Greenhouse API	Senior ML Ops Engineer, AI Platform Team	GetYourGuide	added
https://getyourguide.careers/jobs/7422312	2026-04-07	Greenhouse API	Engineering Manager, AI Platform	GetYourGuide	added
https://job-boards.greenhouse.io/intercom/jobs/7574783	2026-04-07	Greenhouse API	Senior Data Engineering Manager	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6466001	2026-04-07	Greenhouse API	Senior Product Engineer - AI Platform	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7372016	2026-04-07	Greenhouse API	Senior Machine Learning Scientist	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7556413	2026-04-07	Greenhouse API	Forward Deployed Software Engineer	Intercom	added
https://job-boards.greenhouse.io/celonis/jobs/7681593003	2026-04-07	Greenhouse API	Applied AI Engineer	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7662738003	2026-04-07	Greenhouse API	Associate Applied AI Engineer (APAC) - Orbit Program	Celonis	added
https://job-boards.greenhouse.io/vercel/jobs/5798406004	2026-04-07	Greenhouse API	Software Engineer, AI Gateway	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5829980004	2026-04-07	Greenhouse API	Engineering Manager, AI Gateway	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5704320004	2026-04-07	Greenhouse API	Software Engineer, Agent	Vercel	added
https://job-boards.greenhouse.io/humeai/jobs/5064248008	2026-04-07	Greenhouse API	Senior Platform Engineer	Hume AI	added
https://job-boards.greenhouse.io/runpod/jobs/5173070008	2026-04-07	Greenhouse API	Forward Deployed Engineer APAC	RunPod	added
https://job-boards.greenhouse.io/runpod/jobs/4142227008	2026-04-07	Greenhouse API	Senior Software Engineer (Cloud)	RunPod	added
https://job-boards.greenhouse.io/builtin/jobs/6882201	2026-04-07	Greenhouse — India	Applied AI Engineer (Agentic Workflows) - India	Built In	added
